fitness,r,K,s,u,v,functionCalls 
0.0339563,1.32359,1.0174,0.517657,0.678404,1.54772,255598 
0.0340002,1.32412,1.01647,0.517303,0.678813,1.55059,117600 
0.0329756,1.30573,1.00452,0.503896,0.696385,1.5846,200424 
0.0339488,1.28597,0.995487,0.489343,0.715385,1.62082,58221 
0.0347404,1.3215,1.0204,0.517468,0.678291,1.54366,236410 
0.0348364,1.31732,1.01503,0.511465,0.685145,1.56342,103444 
0.0341507,1.31795,1.01344,0.510877,0.686493,1.56648,313111 
0.0314736,1.29913,0.999842,0.496385,0.703969,1.60472,272875 
0.0333793,1.31083,1.01038,0.508248,0.688937,1.5708,111988 
0.0338943,1.31518,1.01065,0.510997,0.685969,1.5666,251980 
0.0349823,1.32795,1.02394,0.522988,0.671902,1.53032,198560 
0.0346511,1.28651,0.993277,0.492766,0.710044,1.61544,285910 
0.0336086,1.30225,0.997757,0.500261,0.700334,1.59888,181083 
0.0331012,1.31628,1.0132,0.511981,0.684661,1.56005,205632 
0.0346842,1.32128,1.01843,0.516813,0.67842,1.54835,344330 
0.0293427,1.28419,0.989054,0.485323,0.717682,1.63447,54870 
0.0340599,1.31544,1.0127,0.512128,0.685155,1.56177,255601 
0.032209,1.30909,1.00295,0.502623,0.695145,1.59264,320201 
0.0340305,1.32156,1.0119,0.514267,0.682037,1.56203,183967 
0.0349507,1.32789,1.02484,0.523097,0.671589,1.52884,510649 
0.0327872,1.30991,1.00947,0.507154,0.691443,1.57245,447926 
0.0347678,1.27815,0.988924,0.486013,0.716871,1.63504,65658 
0.0318253,1.29409,0.997746,0.494003,0.705514,1.60743,38276 
0.0340463,1.32603,1.01622,0.518278,0.678281,1.54988,246256 
0.0349384,1.32541,1.02451,0.521576,0.673008,1.5315,292560 
0.0344719,1.32546,1.02197,0.520169,0.675336,1.53719,260572 
0.0328074,1.31466,1.01,0.508358,0.690309,1.5705,357337 
0.0333913,1.31991,1.01265,0.512703,0.684803,1.56324,359612 
0.0332641,1.27703,0.980664,0.48189,0.725091,1.65292,35867 
0.0346422,1.24809,0.966828,0.460996,0.754602,1.71458,977820 
 
